No tarea,tipo,Territorio,Gestor,Estado,Localidad,folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,folio,FCO,dias
1,Libre,Sur,Sur 2,CHIAPAS,CINTALAPA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6240,BA MEGA CINTALAPA (6240),,119454,LIBRE,31/03/2020,12:56:50,1153533,16.696339,-93.722336,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,COMITAN DE DOMINGUEZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4225,MEGA COMITAN II CHIAPAS,,179087,LIBRE,31/03/2020,13:33:00,1154104,16.239917,-92.136835,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,COMITAN DE DOMINGUEZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,8184,DAZ MIGO LAS ROSAS CHIAPAS (8184),,118112,LIBRE,31/03/2020,12:57:51,1153972,16.365057,-92.370173,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,ESCUINTLA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9861,DAZ ALVARO OBREGON ESCUINTLA (9861),,121259,LIBRE,31/03/2020,12:57:52,1154017,15.320484,-92.658043,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,FRONTERA COMALAPA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2057,BA EKT CHIAPAS COMALAPA (2057),,119380,LIBRE,31/03/2020,12:56:48,1153238,15.658685,-92.141792,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,FRONTERA COMALAPA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5933,BA PRESTA PRENDA CTRAL SUR FRONTERA COMALAPA (5933),,118278,LIBRE,31/03/2020,12:57:51,1153944,15.658847,-92.141115,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,HUIXTLA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4684,BA PRESTA PRENDA HUIXTLA (4684),,118384,LIBRE,31/03/2020,12:57:51,1153845,15.13897,-92.464615,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,JIQUIPILAS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9888,DAZ JIQUIPILAS (9888),,121340,LIBRE,31/03/2020,12:57:52,1154019,16.667624,-93.648776,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,MAPASTEPEC,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4601,DAZ MAPASTEPEC (4601),,118226,LIBRE,31/03/2020,12:57:51,1153837,15.434708,-92.900406,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,MOTOZINTLA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4602,PRESTA PRENDA MOTOZINTLA (4602),,123302,LIBRE,31/03/2020,12:57:51,1153838,15.365077,-92.24727,200300661,24/04/2020,2
2,Libre,Sur,Sur 2,CHIAPAS,SAN FERNANDO,-,-,En Abril Upaxer te regala gasolina 2020,352,E13499_BP Cañón del Sumidero,,158584,LIBRE,31/03/2020,14:11:54,1154383,16.85192,-93.19766,-,-,2
1,Libre,Sur,Sur 2,CHIAPAS,SUCHIATE,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2078,BA EKT CHIAPAS CD HIDALGO (2078),,119379,LIBRE,31/03/2020,12:56:48,1153246,14.678709,-92.150634,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,TAPACHULA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1083,BA EKT TONALA CHIS (1083),,119377,LIBRE,31/03/2020,12:56:48,1153165,16.0913,-93.75265,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,TEOPISCA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5823,DAZ TEOPISCA (5823),,118198,LIBRE,31/03/2020,12:57:51,1153921,16.542598,-92.473165,200300661,24/04/2020,2
