id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores,c,p
108214,PAX 108214,Verde [< 180 Días],18.98100631,-98.23350892,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72494,MEXICO
115777,PAX 115777,Verde [< 180 Días],18.98200631,-98.23250892,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72494,MEXICO
117605,PAX 117605,Verde [< 180 Días],19.30900099,-98.23470611,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90117,MEXICO
117608,PAX 117608,Verde [< 180 Días],19.31000099,-98.23370611,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90117,MEXICO
116052,PAX 116052,Verde [< 180 Días],19.07401736,-98.23323893,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72130,MEXICO
116749,PAX 116749,Verde [< 180 Días],19.07501736,-98.23223893,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72130,MEXICO
117330,PAX 117330,Verde [< 180 Días],19.07601736,-98.23123893,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72130,MEXICO
106610,PAX 106610,Verde [< 180 Días],19.17691594,-98.23313253,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,90780,MEXICO
107916,PAX 107916,Verde [< 180 Días],19.17791594,-98.23213253,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,90780,MEXICO
118539,PAX 118539,Verde [< 180 Días],18.99454651,-98.23444691,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72940,MEXICO
116562,PAX 116562,Verde [< 180 Días],18.95940786,-98.23126624,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72499,MEXICO
120695,PAX 120695,Verde [< 180 Días],26.04649122,-98.23368322,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,88786,MEXICO
108270,PAX 108270,Verde [< 180 Días],26.03300659,-98.23009013,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88780,MEXICO
115930,PAX 115930,Verde [< 180 Días],19.24017945,-98.23304935,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,90180,MEXICO
118996,PAX 118996,Verde [< 180 Días],19.04440985,-98.23047318,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72400,MEXICO
121416,PAX 121416,Verde [< 180 Días],26.03602957,-98.23002222,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,88789,MEXICO
120144,PAX 120144,Verde [< 180 Días],18.99208221,-98.2269991,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72474,MEXICO
107248,PAX 107248,Verde [< 180 Días],19.05259768,-98.22452639,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72180,MEXICO
107396,PAX 107396,Verde [< 180 Días],19.05359768,-98.22352639,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72180,MEXICO
106193,PAX 106193,Verde [< 180 Días],19.01801346,-98.22246597,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72450,MEXICO
116722,PAX 116722,Verde [< 180 Días],19.01901346,-98.22146597,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72450,MEXICO
117103,PAX 117103,Verde [< 180 Días],19.02001346,-98.22046597,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72450,MEXICO
119013,PAX 119013,Verde [< 180 Días],19.02101346,-98.21946597,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72450,MEXICO
119311,PAX 119311,Verde [< 180 Días],19.02201346,-98.21846597,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72450,MEXICO
108486,PAX 108486,Verde [< 180 Días],19.05732643,-98.2249729,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72160,MEXICO
108635,PAX 108635,Verde [< 180 Días],21.34649715,-98.22487375,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,92125,MEXICO
105761,PAX 105761,Verde [< 180 Días],18.99772824,-98.22450954,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72470,MEXICO
107204,PAX 107204,Verde [< 180 Días],18.99872824,-98.22350954,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72470,MEXICO
118395,PAX 118395,Verde [< 180 Días],18.99972824,-98.22250954,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72470,MEXICO
117036,PAX 117036,Verde [< 180 Días],19.055873,-98.224142,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72411,MEXICO
