No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
2,Sin Terminar,Sur,Sur 1,CAMPECHE,CARMEN,-,-,En Abril Upaxer te regala gasolina 2020,301,E11305_BP Carmen,PAX6238,158547,TOMADA POR USUARIO,01/04/2020,14:01:03,1154345,18.655403,-91.786981,-,-,1
1,Sin Terminar,Sur,Sur 1,CAMPECHE,ESCARCEGA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2209,BA EKT CAMPECHE ESCARCEGA (2209),PAX95986,119367,TOMADA POR USUARIO,01/04/2020,16:18:19,1153289,18.607013,-90.740698,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 1,CAMPECHE,ESCARCEGA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5778,BA PRESTA PRENDA MENDEZ  ESCARCEGA (5778),PAX95986,118392,TOMADA POR USUARIO,01/04/2020,16:18:37,1153918,18.605743,-90.72956,200300661,24/04/2020,1
2,Sin Terminar,Sur,Sur 1,CAMPECHE,ESCARCEGA,-,-,En Abril Upaxer te regala gasolina 2020,294,E10006_BP Salsipuedes,PAX103422,158542,TOMADA POR USUARIO,01/04/2020,14:18:15,1154338,18.604895,-90.721723,-,-,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,CHIAPA DE CORZO,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6134,BA EKT CHIAPA DE CORZO CENTRO (6134),PAX106439,120697,TOMADA POR USUARIO,01/04/2020,12:52:39,1153521,16.708605,-93.017677,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,COMITAN DE DOMINGUEZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2969,PRESTA PRENDA COMITAN (2969),PAX87511,122908,TOMADA POR USUARIO,01/04/2020,17:19:55,1153817,16.251208,-92.13623,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,COMITAN DE DOMINGUEZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5627,BA PRESTA PRENDA CENTRO COMITAN CHIAPAS (5627),PAX87511,118349,TOMADA POR USUARIO,01/04/2020,17:19:49,1153911,16.243581,-92.138812,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,COMITAN DE DOMINGUEZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5895,BA  PRESTA PRENDA COMITAN CHIAPAS (5895),PAX87511,118386,TOMADA POR USUARIO,01/04/2020,17:20:00,1153931,16.252365,-92.133524,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,HUEHUETAN,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5871,DAZ HUEHUETAN (5871),PAX87858,118191,TOMADA POR USUARIO,01/04/2020,14:13:16,1153928,15.010625,-92.407885,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 1,CHIAPAS,OCOSINGO,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2077,BA EKT CHIAPAS OCOSINGO (2077),PAX107530,119372,TOMADA POR USUARIO,01/04/2020,14:12:54,1153245,16.906723,-92.089542,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4686,BA PRESTA PRENDA OCOZOCOAUTLA (4686),PAX98082,118370,TOMADA POR USUARIO,01/04/2020,12:54:08,1153846,16.762003,-93.374092,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 1,CHIAPAS,PALENQUE,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,7579,BA MEGA PALENQUE (7579),PAX26672,119365,TOMADA POR USUARIO,01/04/2020,20:27:31,1153589,17.508358,-91.986811,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 1,CHIAPAS,PALENQUE,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9848,DAZ PALENQUE 2 (9848),PAX26672,121275,TOMADA POR USUARIO,01/04/2020,20:27:21,1154007,17.509208,-91.984311,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 1,CHIAPAS,REFORMA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6107,PRESTA PRENDA MICROEKT CHIAPAS REFORMA (6107),PAX82914,121720,TOMADA POR USUARIO,01/04/2020,13:15:35,1153948,17.863834,-93.14874,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1656,PRESTA PRENDA SAN CRISTOBAL DE LAS CASAS 1 (1656),PAX107530,122903,TOMADA POR USUARIO,01/04/2020,14:13:54,1153784,16.744148,-92.637012,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4689,BA PRESTA PRENDA SAN C DE LAS CASAS 2 (4689),PAX107530,118356,TOMADA POR USUARIO,01/04/2020,14:13:09,1153847,16.719955,-92.636827,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5390,BA PRESTA PRENDA SAN CRISTOBAL DE LAS CASAS (5390),PAX107530,119964,TOMADA POR USUARIO,01/04/2020,14:13:40,1153896,16.736396,-92.639947,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9968,BA MEGA SAN CRISTOBAL SUR,PAX107530,174321,TOMADA POR USUARIO,01/04/2020,14:13:20,1154080,16.731613,-92.655888,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TAPACHULA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1492,BA EKT TAPACHULA PALOMAS (1492),PAX87858,119378,TOMADA POR USUARIO,01/04/2020,14:12:48,1153188,14.892913,-92.27555,200300661,24/04/2020,1
